Time,x,y
1353,-0.539275,-0.625725
1354,-0.52016,-0.63458
1355,-0.51504,-0.64781
1356,-0.50992,-0.66104
1357,-0.50992,-0.63043
1358,-0.50992,-0.59982
1359,-0.497475,-0.639255
1360,-0.48503,-0.67869
1361,-0.49414,-0.666395
1362,-0.50325,-0.6541
1363,-0.485835,-0.6247
1364,-0.46842,-0.5953
1365,-0.48408,-0.60578
1366,-0.49974,-0.61626
1367,-0.487235,-0.613905
1368,-0.47473,-0.61155
1369,-0.51241,-0.62108
1370,-0.55009,-0.63061
1371,-0.515425,-0.646245
1372,-0.48076,-0.66188
1373,-0.47244,-0.620395
1374,-0.46412,-0.57891
1375,-0.50132,-0.581325
1376,-0.53852,-0.58374
1377,-0.50433,-0.605
1378,-0.47014,-0.62626
1379,-0.481845,-0.60538
1380,-0.49355,-0.5845
1381,-0.491005,-0.608995
1382,-0.48846,-0.63349
1383,-0.490315,-0.630365
1384,-0.49217,-0.62724
1385,-0.486515,-0.60488
1386,-0.48086,-0.58252
1387,-0.49411,-0.616295
1388,-0.50736,-0.65007
1389,-0.49601,-0.606445
1390,-0.48466,-0.56282
1391,-0.497115,-0.609335
1392,-0.50957,-0.65585
1393,-0.489295,-0.640155
